Cntry,count,mean,std,min,25%,50%,75%,max
CAN,25.0,1147.5384,1194.643145851792,6.97,117.77,866.41,2223.35,3417.26
CHE,1.0,248.43,,248.43,248.43,248.43,248.43,248.43
CZE,4.0,594.5375,1072.3819542611673,7.39,15.834999999999999,85.33500000000001,664.0375,2200.09
DEU,2.0,1628.095,934.4628245414583,967.33,1297.7125,1628.095,1958.4775,2288.86
FIN,4.0,1377.3475,839.5739939348208,646.87,874.2925,1151.42,1654.475,2559.68
LVA,1.0,11.45,,11.45,11.45,11.45,11.45,11.45
RUS,1.0,2209.61,,2209.61,2209.61,2209.61,2209.61,2209.61
SVK,2.0,1927.335,969.0686304127279,1242.1,1584.7175,1927.335,2269.9525000000003,2612.57
SWE,4.0,95.775,77.9397290646219,47.1,49.3725,62.394999999999996,108.7975,211.21
USA,14.0,596.9378571428571,923.1074674429306,0.13,47.71000000000001,177.93,419.875,2686.76
